Pl.;Dos;;Nom;Club;Sx;Cat;Par cat.;Sous Dine;Landron;Pré Arrivée;Temps;Ecart;Moy
107;2606;FRA;CHIES Sandra / PERAL Maria;;Femme;FEM;27;02:36:45;03:13:22;04:21:05;04:24:11;+02:11:18;4,8
108;2538;FRA;UNAL Agnès / LE ROUX Jacques;;Mixte;MX;53;02:36:09;03:12:36;04:21:55;04:24:51;+02:11:58;4,8
109;2560;FRA;LOMBARDO Laura / GATEL Elise;;Femme;FEM;28;02:30:26;03:10:59;04:22:59;04:25:39;+02:12:46;4,7
110;2509;FRA;CHABAS Coralie / CHABAS Olivier;;Mixte;MX;54;02:49:07;03:23:35;04:26:18;04:29:44;+02:16:51;4,7
111;2627;FRA;BRUNEAU Gwënola / PINOT François;LA TRIANDINE;Mixte;MX;55;02:36:10;03:14:08;04:27:44;04:30:34;+02:17:41;4,7
112;2571;FRA;GARCIA Sandrine / GARCIA Gregory;;Mixte;MX;56;02:41:32;03:20:27;04:27:50;04:30:42;+02:17:49;4,7
113;2578;FRA;DIEULLE Martin / BUREL Justine;;Mixte;MX;57;;03:21:18;04:28:34;04:31:39;+02:18:46;4,6
114;2568;FRA;BOUTEILLE Adrien / SERRON Christophe;ASPLMB - FNSP;Homme;HOM;29;02:45:18;03:19:50;04:29:26;04:32:14;+02:19:21;4,6
115;2628;FRA;PITOU Anne-flavie / LATOUR Quentin;TOUT TERRAIN CLUB;Mixte;MX;58;02:50:06;03:29:25;04:32:41;04:35:10;+02:22:17;4,6
116;2579;FRA;TEPHANY CONTANT Helene / FEBRERO Emmanuelle;;Femme;FEM;29;02:45:35;03:21:46;04:32:58;04:35:46;+02:22:53;4,6
117;2569;FRA;TEPHANY Loic / RAPINET Nicolas;;Homme;HOM;30;02:52:23;03:25:20;04:35:52;04:39:03;+02:26:10;4,5
118;2600;FRA;BENSOUDA Kenza / AVERLANT Cyril;;Mixte;MX;59;;;04:40:55;04:44:24;+02:31:31;4,4
119;2513;FRA;FAIVRE ROUSSEL Sylvain / FAIVRE ROUSSEL Manon;;Mixte;MX;60;02:46:08;03:27:35;04:46:47;04:49:26;+02:36:33;4,4
120;2532;FRA;REVIL Sophie / LETE Laetitia;;Femme;FEM;30;02:31:47;03:11:54;04:34:03;04:50:04;+02:37:11;4,3
121;2577;FRA;SIWIEC Caroline / ELIE Benoit;;Mixte;MX;61;02:56:30;03:37:56;04:49:24;04:52:43;+02:39:50;4,3
122;2503;FRA;C. M. /. C. E.;;Femme;FEM;31;;03:29:52;04:51:31;04:54:23;+02:41:30;4,3
123;2605;FRA;ANASTASSIOS Méghane / GÉRARD Maxime;;Mixte;MX;62;02:48:46;03:34:59;04:56:17;04:59:22;+02:46:29;4,2
124;2546;FRA;MARTIN Helene / LORET Marie;;Femme;FEM;32;03:00:12;03:44:11;05:03:04;05:06:28;+02:53:35;4,1
125;2553;FRA;GABORIAU Sandrine / OLRY Camille;;Femme;FEM;33;03:16:26;03:56:26;05:08:41;05:11:59;+02:59:06;4
126;2515;FRA;MAHIEUX Stéphanie / LEROUX Anne-valérie;;Femme;FEM;34;03:08:48;03:51:15;05:09:45;05:13:08;+03:00:15;4
127;2522;FRA;POTEPA Stéphane / VANNEREUX Thomas;;Homme;HOM;31;02:55:49;03:42:40;05:12:52;05:16:00;+03:03:07;4
